price,price_per_sqm,latitude,longitude,surface,rooms,heating_type,floor,rent,property_status,property_type,property form,freeFrom,sellerType,construction_year,building_type,distance_school,has_school_nearby,distance_park,has_park_nearby,distance_transport,has_transport_nearby,distance_supermarket,has_supermarket_nearby,distance_hospital,has_hospital_nearby,distance_restaurant,has_restaurant_nearby,distance_gym,has_gym_nearby,distance_mall,has_mall_nearby,accessibility_score,facility_count,accessibility_label,avg_room_size,year_built_category,city,Județ,county_sales_april_2025_log
93900.0,1401.0,47.1332292,27.7080713,67.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1989.0,bloc,888.0,1,300.0,1,522.0,0,1145.0,0,1177.0,1,635.0,1,768.0,1,453.0,1,92.0,6.0,Excellent - Everything you need within walking distance,22.333333333333332,1980-1999,Tomesti,vaslui,6.508769136971682
150467.0,1270.0,44.56718739999999,26.0835112,118.51,3.0,centrală pe gaz,3.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,1104.0,0,641.0,1,530.0,0,1682.0,0,1844.0,0,436.0,1,1461.0,0,1187.0,1,82.0,3.0,Very Good - Highly accessible location,39.50333333333334,post-2019,Otopeni,ilfov,8.254788926148725
227000.0,2873.0,46.7568507,23.5603859,79.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1980.0,bloc,284.0,1,267.0,1,192.0,1,161.0,1,210.0,1,497.0,1,221.0,1,243.0,1,100.0,8.0,Excellent - Everything you need within walking distance,19.75,1980-1999,Cluj-Napoca,cluj,7.881559917056899
260000.0,2600.0,47.16491509999999,27.5867552,100.0,3.0,centrală pe gaz,4.0,450,de renovat,locuință utilizată,drept de proprietate,2025-05-21,agenție,1978.0,bloc,239.0,1,98.0,1,122.0,1,480.0,1,173.0,1,301.0,1,75.0,1,460.0,1,100.0,8.0,Excellent - Everything you need within walking distance,25.0,1960-1979,Iasi,iasi,7.8009820712577405
175000.0,1651.0,45.66554190000001,25.6094527,106.0,3.0,centrală pe gaz,7.0,690 â‚¬,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,privat,2025.0,bloc,230.0,1,388.0,1,12.0,1,728.0,1,1096.0,1,286.0,1,138.0,1,516.0,1,100.0,8.0,Excellent - Everything you need within walking distance,35.333333333333336,post-2019,Brasov,brasov,7.700747794511798
118000.0,1543.0,44.226911,28.5983315,76.45,3.0,centrală pe gaz,0.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,privat,2025.0,bloc,519.0,1,1115.0,0,124.0,1,548.0,1,685.0,1,323.0,1,1181.0,0,549.0,1,100.0,6.0,Excellent - Everything you need within walking distance,25.483333333333334,post-2019,Palazu Mare,constanta,7.741533589281828
57800.0,1445.0,44.3799048,26.1690624,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2025.0,bloc,72.0,1,147.0,1,29.0,1,75.0,1,1512.0,0,0.0,0,298.0,1,855.0,1,100.0,6.0,Excellent - Everything you need within walking distance,29.0,post-2019,Leordeni,mures,6.776506992372183
79500.0,1347.0,44.2183607,28.596629,59.0,2.0,centrală pe gaz,3.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,116.0,1,1227.0,0,68.0,1,205.0,1,125.0,1,762.0,1,261.0,1,877.0,1,100.0,7.0,Excellent - Everything you need within walking distance,29.5,post-2019,Constanta,constanta,7.741533589281828
128000.0,2844.0,44.3136811,28.6260149,45.0,2.0,centrală pe gaz,3.0,600 â‚¬,gata de utilizare,locuință nouă,drept de proprietate,2024-09-16,privat,2023.0,bloc,1135.0,0,81.0,1,47.0,1,489.0,1,1295.0,1,65.0,1,1297.0,0,422.0,1,100.0,6.0,Excellent - Everything you need within walking distance,22.5,post-2019,Constanta,constanta,7.741533589281828
147156.0,1901.0,45.6720726,25.5997377,77.43,3.0,centrală pe gaz,3.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,dezvoltator,2026.0,bloc,544.0,1,711.0,1,734.0,0,247.0,1,229.0,1,1095.0,0,361.0,1,790.0,1,88.0,6.0,Very Good - Highly accessible location,25.810000000000002,post-2019,1 Decembrie,vaslui,6.508769136971682
210900.0,3835.0,44.4696392,26.1108445,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2022.0,bloc,30.0,1,198.0,1,115.0,1,608.0,1,537.0,1,155.0,1,380.0,1,741.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,post-2019,Bucuresti,bucuresti,8.921457578947884
81000.0,2077.0,44.4354305,26.0171063,39.0,2.0,centrală pe gaz,9.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,211.0,1,167.0,1,199.0,1,296.0,1,157.0,1,383.0,1,248.0,1,313.0,1,100.0,8.0,Excellent - Everything you need within walking distance,19.5,2010-2019,Bucuresti,bucuresti,8.921457578947884
98000.0,1661.0,45.792436,24.1630938,59.0,2.0,centrală pe gaz,5.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,1979.0,bloc,506.0,1,404.0,1,315.0,1,267.0,1,82.0,1,285.0,1,228.0,1,504.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.5,1960-1979,Stejari,gorj,6.282266746896006
55000.0,1571.0,44.4165735,26.1134601,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1928.0,bloc,312.0,1,130.0,1,14.0,1,94.0,1,475.0,1,680.0,1,515.0,1,445.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,pre-1960,Bucuresti,bucuresti,8.921457578947884
52500.0,1427.0,44.0353419,28.6380974,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2026.0,bloc,786.0,1,0.0,0,619.0,0,272.0,1,683.0,1,57.0,1,-1.0,0,307.0,1,88.0,5.0,Very Good - Highly accessible location,29.0,post-2019,Costinesti,constanta,7.741533589281828
72100.0,1602.0,44.4193897,26.1801296,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2025.0,bloc,9.0,1,53.0,1,338.0,1,117.0,1,560.0,1,175.0,1,293.0,1,104.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,post-2019,Bucuresti,bucuresti,8.921457578947884
139500.0,2790.0,46.76624349999999,23.619693,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1970.0,bloc,473.0,1,167.0,1,173.0,1,351.0,1,643.0,1,233.0,1,48.0,1,752.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,1960-1979,Cluj-Napoca,cluj,7.881559917056899
300000.0,2500.0,44.5145049,26.1210561,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2026.0,bloc,146.0,1,193.0,1,142.0,1,95.0,1,248.0,1,95.0,1,247.0,1,425.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,post-2019,Voluntari,ilfov,8.254788926148725
126000.0,2571.0,46.7671469,23.5468686,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1976.0,bloc,152.0,1,138.0,1,251.0,1,164.0,1,52.0,1,901.0,0,172.0,1,368.0,1,97.0,7.0,Excellent - Everything you need within walking distance,29.0,1960-1979,Cluj-Napoca,cluj,7.881559917056899
227000.0,2873.0,46.7568507,23.5603859,79.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1980.0,bloc,284.0,1,267.0,1,192.0,1,161.0,1,210.0,1,497.0,1,221.0,1,243.0,1,100.0,8.0,Excellent - Everything you need within walking distance,19.75,1980-1999,Cluj-Napoca,cluj,7.881559917056899
259000.0,3238.0,44.4222997,26.0705486,80.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,318.0,1,126.0,1,23.0,1,200.0,1,249.0,1,614.0,1,563.0,1,83.0,1,100.0,8.0,Excellent - Everything you need within walking distance,26.666666666666668,post-2019,Bucuresti,bucuresti,8.921457578947884
208000.0,3525.0,46.7530358,23.5603774,59.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1978.0,bloc,111.0,1,226.0,1,150.0,1,208.0,1,224.0,1,480.0,1,182.0,1,268.0,1,100.0,8.0,Excellent - Everything you need within walking distance,14.75,1960-1979,Cluj-Napoca,cluj,7.881559917056899
218000.0,2795.0,46.7808294,23.62901,78.0,3.0,centrală pe gaz,8.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1980.0,bloc,244.0,1,170.0,1,90.0,1,165.0,1,656.0,1,493.0,1,172.0,1,204.0,1,100.0,8.0,Excellent - Everything you need within walking distance,19.5,1980-1999,Aurel Vlaicu,botosani,6.846943139585379
135000.0,3462.0,46.7769262,23.6325977,39.0,1.0,centrală pe gaz,6.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-06-01,privat,2012.0,bloc,573.0,1,249.0,1,54.0,1,206.0,1,243.0,1,57.0,1,243.0,1,612.0,1,100.0,8.0,Excellent - Everything you need within walking distance,39.0,2010-2019,Cluj-Napoca,cluj,7.881559917056899
59000.0,1054.0,44.3235481,28.6117855,56.0,2.0,centrală pe gaz,1.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,privat,2015.0,bloc,127.0,1,208.0,1,292.0,1,134.0,1,370.0,1,86.0,1,297.0,1,173.0,1,97.0,8.0,Excellent - Everything you need within walking distance,28.0,2010-2019,Constanta,constanta,7.741533589281828
103800.0,854.0,44.5490478,26.1251037,121.59,2.0,centrală pe gaz,0.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,345.0,1,1027.0,0,10.0,1,161.0,1,1284.0,1,80.0,1,1211.0,0,1138.0,1,100.0,6.0,Excellent - Everything you need within walking distance,60.795,post-2019,1 Decembrie,vaslui,6.508769136971682
135500.0,3080.0,46.7526905,23.5561137,44.0,2.0,altul,6.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,privat,2019.0,bloc,107.0,1,353.0,1,193.0,1,143.0,1,270.0,1,385.0,1,369.0,1,323.0,1,100.0,8.0,Excellent - Everything you need within walking distance,22.0,2010-2019,Cluj-Napoca,cluj,7.881559917056899
64000.0,1333.0,44.5460939,25.9574846,48.0,2.0,centrală pe gaz,1.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-05,privat,1990.0,bloc,1388.0,0,911.0,0,43.0,1,1374.0,0,1749.0,0,625.0,1,2010.0,0,1308.0,1,88.0,3.0,Very Good - Highly accessible location,24.0,1980-1999,Buciumeni,calarasi,5.8377304471659395
350000.0,4730.0,44.4932726,26.1729137,74.0,3.0,centrală pe gaz,3.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2020.0,bloc,24.0,1,516.0,1,46.0,1,484.0,1,581.0,1,92.0,1,682.0,1,602.0,1,100.0,8.0,Excellent - Everything you need within walking distance,24.666666666666668,post-2019,Voluntari,ilfov,8.254788926148725
345840.0,2981.0,44.4932726,26.1729137,116.0,3.0,centrală pe gaz,1.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2024.0,bloc,24.0,1,516.0,1,46.0,1,484.0,1,581.0,1,92.0,1,682.0,1,602.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,post-2019,Voluntari,ilfov,8.254788926148725
88000.0,1517.0,44.2183607,28.596629,58.0,2.0,centrală pe gaz,2.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,116.0,1,1227.0,0,68.0,1,205.0,1,125.0,1,762.0,1,261.0,1,877.0,1,100.0,7.0,Excellent - Everything you need within walking distance,29.0,post-2019,Constanta,constanta,7.741533589281828
