id;url;title;price;price_per_sqm;latitude;longitude;address;surface;rooms;heating_type;floor;rent;property_status;property_type;property form;freeFrom;sellerType;additional information;construction_year;building_type;distance_school;has_school_nearby;distance_park;has_park_nearby;distance_transport;has_transport_nearby;distance_supermarket;has_supermarket_nearby;distance_hospital;has_hospital_nearby;distance_restaurant;has_restaurant_nearby;distance_gym;has_gym_nearby;distance_mall;has_mall_nearby;accessibility_score;facility_count;accessibility_label
IDDKRb;https://www.storia.ro/ro/ofărăa/garsoniera-moghioros-park-residence-drumul-taberei-IDDKRb;Garsoniera MOGHIOROS PARK RESIDENCE Drumul Taberei;93500.0;2671.0;44.4213403;26.0344852;Drumul Taberei, Sectorul 6, Bucuresti;35.0;;centrală pe gaz;8;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;2023;;447;1;204;1;106;1;494;1;484;1;588;1;246;1;242;1;100;8;Excellent - Everything you need within walking distance
IDCBNL;https://www.storia.ro/ro/ofărăa/apartament-1-camera-bloc-izolat-clima-mobilat-si-utilat-complet-IDCBNL;Apartament 1 Camera - Bloc Izolat - Clima - Mobilat si Utilat Complet;68000.0;2125.0;45.7807056;21.2198645;Aradului West, Timisoara, Timis;32.0;;centralizată;4;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1980;bloc;125;1;164;1;239;1;287;1;142;1;797;1;345;1;561;1;97;8;Excellent - Everything you need within walking distance
IDDL2p;https://www.storia.ro/ro/ofărăa/apartamentul-2-camere-68-mp-parcul-teilor-IDDL2p;Apartamentul 2 camere 68 mp Parcul Teilor;95760.0;1400.0;44.4081583;26.191115;Theodor Pallady, Sectorul 3, Bucuresti;68.4;;centrală pe gaz;1;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon garaj bucătărie  separată;2024;clădire de apartamente;586;1;716;1;61;1;473;1;235;1;1165;0;885;1;835;1;100;7;Excellent - Everything you need within walking distance
IDDBW0;https://www.storia.ro/ro/ofărăa/3-camere-sector-4-berceni-grand-arena-IDDBW0;3 camere Sector 4 - Berceni - Grand Arena;136772.0;1523.0;44.3712927;26.1164293;Strada Aurel Persu, IMGB, Sectorul 4, Bucuresti;89.8;;fără informații;5;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;balcon terasă;2024;bloc;678;1;181;1;537;0;288;1;931;1;485;1;470;1;451;1;93;7;Excellent - Everything you need within walking distance
IDBRN9;https://www.storia.ro/ro/ofărăa/apartament-cu-3-camere-bloc-tip-vila-cartier-gruia-semicentralăIDBRN9;Apartament cu 3 Camere | Bloc Tip Vila | Cartier Gruia | Semicentral;215000.0;3308.0;46.7784632;23.5786412;Gruia, Cluj-Napoca, Cluj;65.0;;centralizată;parter;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;balcon;2022;;549;1;271;1;129;1;678;1;351;1;690;1;370;1;1036;1;100;8;Excellent - Everything you need within walking distance
IDCBNE;https://www.storia.ro/ro/ofărăa/apartament-2-camere-etajul-1-7-strada-regina-maria-centrală-proprie-IDCBNE;Apartament 2 camere, Etajul 1/7, Strada Regina Maria, centrală Proprie;77500.0;1550.0;45.0996753;24.3693179;Ramnicu Valcea, Valcea;50.0;;centrală pe gaz;1;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;balcon terasă bucătărie  separată;1992;clădire de apartamente;287;1;252;1;246;1;0;0;185;1;180;1;265;1;271;1;97;7;Excellent - Everything you need within walking distance
IDBxnb;https://www.storia.ro/ro/ofărăa/apartament-cu-3-camere-83-mp-etaj-5-capitolis-residence-IDBxnb;Apartament cu 3 camere, 83 mp, etaj 5, Capitolis Residence;184051.0;2205.0;45.6720726;25.5997377;Strada 1 Decembrie 1918, Tractorul, Brasov, Brasov;83.47;;centrală pe gaz;5;fără informații;în construcție;locuință nouă;drept de proprietate;fără informații;dezvoltator;balcon terasă beci debara;2026;bloc;544;1;711;1;734;0;247;1;229;1;1095;0;361;1;790;1;88;6;Very Good - Highly accessible location
IDDL1F;https://www.storia.ro/ro/ofărăa/apartament-2-camere-mutare-imediata-IDDL1F;Apartament 2 Camere Mutare Imediata;77980.0;1278.0;44.3726442;26.0977739;Progresul, Sectorul 4, Bucuresti;61.0;;centrală pe gaz;2;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;2023;clădire de apartamente;1035;0;723;1;206;1;866;1;684;1;334;1;652;1;426;1;97;7;Excellent - Everything you need within walking distance
IDDIcM;https://www.storia.ro/ro/ofărăa/apartament-3-camere-duplex-zona-pallady-IDDIcM;Apartament 3 camere duplex zona Pallady;140489.0;1431.0;44.4081583;26.191115;Theodor Pallady, Sectorul 3, Bucuresti;98.2;;centrală pe gaz;10;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon garaj scară interioară bucătărie  separată;2025;clădire de apartamente;586;1;716;1;61;1;473;1;235;1;1165;0;885;1;835;1;100;7;Excellent - Everything you need within walking distance
IDDBUX;https://www.storia.ro/ro/ofărăa/apartament-unic-cu-3-camere-de-vanzare-in-zona-rogerius-oradea-IDDBUX;Apartament unic cu 3 camere de vanzare in zona Rogerius - Oradea;150000.0;1875.0;47.0797185;21.9187294;Rogerius, Oradea, Bihor;80.0;;centralizată;5;fără informații;fără informații;locuință utilizată;drept de proprietate;2025-05-22;agenție;fără informații;1975;clădire de apartamente;260;1;208;1;128;1;103;1;397;1;87;1;265;1;121;1;100;8;Excellent - Everything you need within walking distance
