id;url;title;price;price_per_sqm;latitude;longitude;address;surface;rooms;heating_type;floor;rent;property_status;property_type;property form;freeFrom;sellerType;additional information;construction_year;building_type;distance_school;has_school_nearby;distance_park;has_park_nearby;distance_transport;has_transport_nearby;distance_supermarket;has_supermarket_nearby;distance_hospital;has_hospital_nearby;distance_restaurant;has_restaurant_nearby;distance_gym;has_gym_nearby;distance_mall;has_mall_nearby;accessibility_score;facility_count;accessibility_label
IDBhkN;https://www.storia.ro/ro/ofărăa/vand-apartament-3-camere-in-hils-pallady-nouă3-min-de-metrou-sect-3-IDBhkN;Vand apartament 3 camere in Hils Pallady, nouă 3 min de metrou, sect 3;134000.0;2161.0;44.4249069;26.1634829;Titan, Sectorul 3, Bucuresti;62.0;;fără informații;6;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;fără informații;;;445;1;290;1;28;1;193;1;871;1;684;1;183;1;184;1;100;8;Excellent - Everything you need within walking distance
IDCtaA;https://www.storia.ro/ro/ofărăa/apartament-3-camere-decomandat-finalizat-parcare-gratuita-fundeni-IDCtaA;Apartament 3 camere, decomandat, finalizat, PARCARE GRATUITA, Fundeni;111900.0;1190.0;44.4568075;26.1629319;Fundeni, Sectorul 2, Bucuresti;94.0;;centrală pe gaz;4;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;balcon bucătărie  separată;2022;bloc;1304;0;591;1;254;1;1220;0;1116;1;113;1;181;1;1193;1;95;6;Excellent - Everything you need within walking distance
IDD809;https://www.storia.ro/ro/ofărăa/apartament-2-camere-in-zona-mercur-gheorgheni-IDD809;Apartament 2 camere in zona Mercur Gheorgheni;142000.0;3156.0;46.76624349999999;23.619693;Gheorgheni, Cluj-Napoca, Cluj;45.0;;centralizată;0;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;fără informații;1970;;473;1;167;1;173;1;351;1;643;1;233;1;48;1;752;1;100;8;Excellent - Everything you need within walking distance
IDDBWa;https://www.storia.ro/ro/ofărăa/apartamente-construcii-noi-zona-dva-nord-IDDBWa;Apartamente construc?ii noi zona Dva Nord;98000.0;1273.0;47.2009712;23.0478475;Dumbrava Nord, Zalau, Salaj;77.0;;centrală pe gaz;1;fără informații;de renovat;locuință nouă;fără informații;fără informații;agenție;fără informații;2025;bloc;150;1;315;1;205;1;177;1;257;1;291;1;245;1;548;1;97;8;Excellent - Everything you need within walking distance
IDCU2Q;https://www.storia.ro/ro/ofărăa/pret-corect-74-000-euro-2-camere-IDCU2Q;Pret corect - 74.000 euro, 2 camere;74000.0;1254.0;44.3818054;25.9892482;Bragadiru, Ilfov;59.0;;centrală pe gaz;3;fără informații;fără informații;locuință nouă;fără informații;fără informații;agenție;balcon;2024;bloc;1019;0;0;0;42;1;892;1;231;1;304;1;1342;0;189;1;100;5;Excellent - Everything you need within walking distance
IDCBOf;https://www.storia.ro/ro/ofărăa/cartierul-solar-3-camere-mutare-imediata-IDCBOf;Cartierul Solar - 3 Camere - Mutare Imediata;91900.0;1392.0;44.37349;26.1394921;Aparatorii Patriei, Sectorul 4, Bucuresti;66.0;;centrală pe gaz;5;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon;2019;bloc;434;1;403;1;206;1;315;1;322;1;315;1;324;1;743;1;97;8;Excellent - Everything you need within walking distance
IDBhiL;https://www.storia.ro/ro/ofărăa/apartament-cu-3-camere-de-vanzare-oradea-IDBhiL;Apartament cu 3 camere de vanzare , Oradea;149500.0;2067.0;47.0545187;21.9234847;Orasul nouă Oradea, Bihor;72.33;;fără informații;2;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;fără informații;;;136;1;398;1;77;1;416;1;292;1;434;1;185;1;153;1;100;8;Excellent - Everything you need within walking distance
IDD8Cf;https://www.storia.ro/ro/ofărăa/apartament-2-camere-zona-astra-str-uranus-IDD8Cf;Apartament 2 camere | Zona Astra - str. Uranus |;87000.0;1933.0;45.6414274;25.6264872;Astra, Brasov, Brasov;45.0;;centrală pe gaz;parter;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;2025-03-18;agenție;fără informații;;;258;1;350;1;167;1;342;1;36;1;281;1;327;1;235;1;100;8;Excellent - Everything you need within walking distance
IDDIcQ;https://www.storia.ro/ro/ofărăa/vanzare-apartament-3-camere-voluntari-centrală-120mp-IDDIcQ;Vanzare Apartament 3 Camere | Voluntari | centrală | 120MP;120000.0;1000.0;44.4932726;26.1729137;Voluntari, Ilfov;120.0;;centralizată;2;fără informații;de renovat;locuință utilizată;drept de proprietate;2025-05-24;agenție;balcon;2005;clădire de apartamente;24;1;516;1;46;1;484;1;581;1;92;1;682;1;602;1;100;8;Excellent - Everything you need within walking distance
IDDBW8;https://www.storia.ro/ro/ofărăa/drumul-taberei-favorit-afi-cotroceni-IDDBW8;Drumul TABEREI Favorit Afi Cotroceni;82500.0;1528.0;44.4213403;26.0344852;Drumul Taberei, Sectorul 6, Bucuresti;54.0;;centralizată;3;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;fără informații;agenție;balcon bucătărie  separată;1968;clădire de apartamente;447;1;204;1;106;1;494;1;484;1;588;1;246;1;242;1;100;8;Excellent - Everything you need within walking distance
IDDMP9;https://www.storia.ro/ro/ofărăa/propietar-vand-ap-4-cam-zona-mihai-viteazu-str-ostirii-IDDMP9;Propietar-Vand ap.4 cam. zona: Mihai Viteazu-str.Ostirii;89900.0;1070.0;45.7906918;24.1340715;Strand I, Sibiu, Sibiu;84.0;;fără informații;5;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;fără informații;;;608;1;185;1;0;0;164;1;178;1;205;1;254;1;1003;1;100;7;Excellent - Everything you need within walking distance
IDCBOc;https://www.storia.ro/ro/ofărăa/apartament-3-camere-mobilat-utilat-76-mp-mihai-viteazu-sibiu-IDCBOc;Apartament 3 camere mobilat utilat 76 mp - Mihai Viteazu Sibiu;79000.0;1039.0;45.7854784;24.1549042;Hipodrom II, Sibiu, Sibiu;76.0;;centralizată;5;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;fără informații;2008;;281;1;531;1;289;1;280;1;123;1;517;1;92;1;657;1;97;8;Excellent - Everything you need within walking distance
IDBhi9;https://www.storia.ro/ro/ofărăa/apartament-3-camere-116-mp-sub-cetate-parcare-inclusa-in-pret-IDBhi9;Apartament, 3 camere, 116 mp , Sub Cetate, parcare inclusa in pret.;179900.0;1551.0;46.744372;23.4847779;Floresti, Floresti, Cluj;116.0;;fără informații;3;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;2025-04-30;agenție;balcon;;;64;1;259;1;46;1;29;1;35;1;81;1;240;1;645;1;100;8;Excellent - Everything you need within walking distance
IDDvk2;https://www.storia.ro/ro/ofărăa/garsoniera-28mp-balcon-etaj-intermediar-manastur-zona-big-IDDvk2;Garsoniera 28mp, balcon, etaj intermediar, Manastur zona Big;88000.0;3143.0;46.7526905;23.5561137;Manastur, Cluj-Napoca, Cluj;28.0;;fără informații;6;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon;;bloc;107;1;353;1;193;1;143;1;270;1;385;1;369;1;323;1;100;8;Excellent - Everything you need within walking distance
IDDBW7;https://www.storia.ro/ro/ofărăa/apartament-4-camere-ultracentralăetajul-1-IDDBW7;Apartament 4 camere, Ultracentrală etajul 1;104900.0;1234.0;44.85399779999999;24.8769414;centrală Pitesti, Arges;85.0;;fără informații;1;fără informații;de renovat;locuință nouă;fără informații;fără informații;agenție;balcon;1980;;348;1;261;1;47;1;102;1;84;1;243;1;114;1;218;1;100;8;Excellent - Everything you need within walking distance
IDDJpg;https://www.storia.ro/ro/ofărăa/2-camere-la-5-minute-de-metrou-mutare-rapida-IDDJpg;2 camere la 5 minute de metrou Mutare rapida;85900.0;1790.0;44.3670339;26.1394839;IMGB, Sectorul 4, Bucuresti;48.0;;centralizată;7;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1970;clădire de apartamente;307;1;318;1;343;1;443;1;382;1;354;1;446;1;830;1;97;8;Excellent - Everything you need within walking distance
IDCBO9;https://www.storia.ro/ro/ofărăa/vanzare-apartament-pe-2-nivele-in-centrul-vechi-din-sibiu-IDCBO9;Vanzare - Apartament pe 2 nivele, in Centrul Vechi din Sibiu;124900.0;2082.0;45.7967498;24.1494543;Centrul Istoric, Sibiu, Sibiu;60.0;;centralizată;0;fără informații;de renovat;locuință nouă;fără informații;fără informații;agenție;fără informații;;;68;1;44;1;46;1;255;1;139;1;162;1;90;1;218;1;100;8;Excellent - Everything you need within walking distance
IDDcdb;https://www.storia.ro/ro/ofărăa/apartament-titulescu-banu-manta-IDDcdb;Apartament Titulescu Banu Manta;149000.0;2129.0;44.4502733;26.0696627;Soseaua Nicolae Titulescu, Grivita, Sectorul 1, Bucuresti;70.0;;centrală pe gaz;7;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;fără informații;agenție;balcon debara;1976;bloc;309;1;452;1;75;1;492;1;506;1;801;0;100;1;367;1;100;7;Excellent - Everything you need within walking distance
IDBhfP;https://www.storia.ro/ro/ofărăa/apartament-3-camere-curte-50-mp-sos-chitilei-carrefour-IDBhfP;Apartament 3 camere curte 50 mp Sos Chitilei Carrefour;180000.0;2250.0;44.4890281;26.0109365;Strada Lt. Col. Raducu Dumitru Durbac, Chitila, Sectorul 1, Bucuresti;80.0;;fără informații;parter;fără informații;gata de utilizare;locuință nouă;fără informații;fără informații;agenție;fără informații;2024;;832;1;539;1;85;1;634;1;913;1;235;1;674;1;479;1;100;8;Excellent - Everything you need within walking distance
IDDIcO;https://www.storia.ro/ro/ofărăa/bloc-nouăunirii-doua-camere-IDDIcO;BLOC nouă| UNIRII | DOUA CAMERE;158900.0;2845.0;44.4272848;26.0924412;Centrul Civic, Sectorul 3, Bucuresti;55.86;;centrală pe gaz;2;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;fără informații;2009;clădire de apartamente;920;1;342;1;435;1;132;1;313;1;739;1;450;1;958;1;93;8;Excellent - Everything you need within walking distance
IDDBW4;https://www.storia.ro/ro/ofărăa/raritate-scheiapartament-generos-cu-terasăgaraj-vedere-panoramica-IDDBW4;Raritate Schei:Apartament generos cu terasă, garaj, vedere panoramica;399000.0;2204.0;45.642711;25.5822504;Strada Cibinului, Prund-Schei, Brasov, Brasov;181.0;;centralizată;-1;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;fără informații;1935;;501;1;209;1;282;1;408;1;312;1;380;1;380;1;547;1;97;8;Excellent - Everything you need within walking distance
